kbopID,playerID,yearID,stint,lgID,teamID,G,CG,SHO,W,L,SV,HLD,WPCT,BFP,IPouts,H,HR,BB,HBP,SO,R,ER,ERA
4574,78843,2010,1,KBO,SK,8,0,0,0,0,0,0,-,44,31,16,5,3,0,3,10,10,10.38
4575,78847,2011,1,KBO,SK,1,0,0,0,0,0,1,-,2,1,0,0,0,1,0,0,0,0
4576,78853,2008,1,KBO,SK,17,0,0,1,2,6,0,0.333,118,90,24,1,8,0,17,7,7,2.15
4577,78868,2008,1,KBO,SK,3,0,0,1,2,0,0,0.333,36,21,8,1,8,0,3,10,10,12.86
4578,78869,2008,1,KBO,SK,5,0,0,1,2,0,0,0.333,98,63,26,1,15,0,11,15,15,6.64
4579,79130,2018,1,KBO,SK,4,0,0,0,0,0,0,-,21,9,8,1,4,0,3,7,7,21
4580,79130,2019,1,KBO,SK,25,0,0,2,4,0,6,0.333,115,84,24,0,11,0,15,14,12,3.95
4581,79130,2020,1,KBO,SK,6,0,0,0,0,0,0,-,20,16,7,1,1,0,4,3,2,4.91
4582,79130,2021,1,KBO,SSG,1,0,0,0,0,0,0,-,10,3,3,0,4,0,1,4,4,36
4583,79137,2009,1,KBO,LG,7,0,0,0,1,0,0,0,42,27,10,0,10,1,5,8,7,7.56
4584,79137,2010,1,KBO,LG,8,0,0,2,2,0,0,0.5,142,103,22,1,28,3,17,16,14,3.86
4585,79137,2011,1,KBO,LG,18,0,0,2,1,0,1,0.667,103,66,18,0,23,3,12,8,8,3.38
4586,79138,2009,1,KBO,LG,26,0,0,1,4,0,0,0.2,311,205,74,11,36,10,45,48,47,6.35
4587,79138,2010,1,KBO,LG,11,0,0,0,1,0,0,0,96,60,23,6,11,3,17,18,18,8.1
4588,79138,2011,1,KBO,LG,47,0,0,2,1,0,7,0.667,275,204,47,3,22,7,51,19,17,2.27
4589,79138,2012,1,KBO,LG,19,0,0,1,1,0,4,0.5,90,63,24,3,6,2,11,12,12,5.31
4590,79140,2009,1,KBO,LG,38,0,0,1,1,1,3,0.5,179,112,45,6,29,5,13,31,28,7.07
4591,79140,2010,1,KBO,LG,1,0,0,0,0,0,0,-,2,0,0,0,2,0,0,0,0,-
4592,79140,2014,1,KBO,LG,1,0,0,0,0,0,0,-,12,9,2,1,3,0,2,3,3,11.57
4593,79140,2015,1,KBO,LG,17,0,0,0,0,0,0,-,101,67,32,7,6,2,21,19,19,8.27
4594,79140,2016,1,KBO,LG,26,0,0,2,0,1,0,1,151,109,30,2,15,4,22,18,17,4.41
4595,79140,2017,1,KBO,LG,35,0,0,1,2,1,5,0.333,171,114,39,9,15,5,31,26,24,5.68
4596,79140,2018,1,KBO,LG,28,0,0,1,0,0,1,1,156,111,33,6,11,3,28,19,19,4.62
4597,79140,2019,1,KBO,LG,18,0,0,1,0,0,0,1,107,69,25,4,10,3,13,17,16,6.26
4598,79140,2020,1,KBO,LG,54,0,0,4,1,0,4,0.8,228,171,54,6,12,2,42,23,22,3.47
4599,79140,2021,1,KBO,LG,8,0,0,0,0,0,0,-,28,22,6,0,4,2,2,6,6,9.53
4600,79140,2022,1,KBO,LG,47,0,0,0,1,0,0,0,210,150,45,5,17,1,30,23,23,4.14
4601,79140,2023,1,KBO,LG,45,0,0,0,0,1,1,-,189,129,42,1,17,3,20,18,15,3.19
4602,79140,2024,1,KBO,LG,26,0,0,0,1,0,2,0,105,66,35,4,9,0,14,18,17,6.95
4603,79140,2025,1,KBO,KT,12,0,0,0,1,0,0,0,56,37,20,3,7,1,6,16,15,12.66
4604,79156,2009,1,KBO,LG,5,0,0,1,2,0,0,0.333,136,87,34,2,15,3,26,20,17,5.28
4605,79191,2009,1,KBO,LG,4,0,0,0,0,0,1,-,18,12,5,1,2,0,3,4,4,9
4606,79191,2010,1,KBO,LG,4,0,0,0,0,0,0,-,30,15,11,2,3,1,5,11,11,19.8
