playerID,birthYear,birthMonth,birthDay,nationality,nameLast,nameFirst,nameGiven,weight,height,bats,throws,position
50859,2001,4,23,Korea,Oh,Won-Seok,Oh Won-Seok,176,72,L,L,Pitcher
50868,1996,7,16,Korea,Ryu,Hyo-Seung,Ryu Hyo-Seung,220,75,R,R,Outfielder
50900,2001,9,15,Korea,Lim,Hyeong-Won,Lim Hyeong-Won,161,72,R,R,Pitcher
50901,2001,2,27,Korea,An,In-San,An In-San,209,71,R,R,Infielder
50902,2001,1,18,Korea,Kim,Han-Byeol,Kim Han-Byeol,187,70,R,R,Infielder
50903,2001,10,19,Korea,Han,Jae-Hwan,Han Jae-Hwan,196,70,R,R,Infielder
50904,2001,3,9,Korea,Lee,Jong-Jun,Lee Jong-Jun,205,75,R,R,Pitcher
50905,2001,7,26,Korea,Kang,Tae-Gyeong,Kang Tae-Gyeong,209,74,L,R,Pitcher
50906,1997,7,16,Korea,Park,Yeong-Bin,Park Yeong-Bin,194,72,L,R,Outfielder
50912,1990,1,3,USA,Wright,Mike,Wright Mike,214,78,R,R,Pitcher
50923,1991,1,14,USA,Altherr,Aaron,Altherr Aaron,214,77,R,R,Outfielder
50992,2001,4,7,Korea,Kim,Tae-Gyeong,Kim Tae-Gyeong,209,74,R,R,Pitcher
50995,2000,6,16,Korea,Jung,Gu-Beom,Jung Gu-Beom,157,72,L,L,Pitcher
50996,2001,5,30,Korea,Park,Si-Won,Park Si-Won,187,73,L,R,Outfielder
51003,1998,9,12,Korea,Kwon,Dong-Jin,Kwon Dong-Jin,183,70,L,R,Infielder
51004,1989,6,10,Dominica Republic,Almonte,Zoilo,Almonte Zoilo,203,72,R,R,Outfielder
51005,1996,7,12,Korea,Kim,Geon-Hyeong,Kim Geon-Hyeong,183,72,L,R,Outfielder
51007,2002,7,5,Korea,Choi,Seong-Min,Choi Seong-Min,185,70,L,L,Outfielder
51009,1998,4,30,Korea,Jeon,Jin-Yeong,Jeon Jin-Yeong,170,70,L,R,Outfielder
51013,2002,8,16,Korea,Yoo,Jun-Gyu,Yoo Jun-Gyu,152,69,L,R,Outfielder
51058,1998,11,30,Korea,Han,Cha-Hyeon,Han Cha-Hyeon,176,71,R,R,Pitcher
51060,2002,2,15,Korea,Ji,Myeong-Seong,Ji Myeong-Seong,143,68,R,R,Pitcher
51097,2002,8,18,Korea,Kim,Yeong-Hyeon,Kim Yeong-Hyeon,183,70,R,R,Pitcher
51100,2002,6,17,Korea,Lee,Yeong-Bin,Lee Yeong-Bin,181,72,L,R,Infielder
51110,2000,7,18,Korea,Lee,Mit-Eum,Lee Mit-Eum,176,74,R,R,Pitcher
51111,2002,4,10,Korea,Song,Seung-Gi,Song Seung-Gi,198,71,L,L,Pitcher
51136,1992,9,11,USA,Suarez,Andrew,Suarez Andrew,194,73,L,L,Pitcher
51143,2002,10,14,Korea,Kang,Hyo-Jong,Kang Hyo-Jong,185,72,R,R,Pitcher
51144,1988,5,28,USA,Bour,Justin,Bour Justin,0,0,L,R,Infielder
51154,1998,8,31,Korea,Kim,Jin-Su,Kim Jin-Su,181,70,R,R,Pitcher
51203,2002,2,15,Korea,An,Jae-Seok,An Jae-Seok,165,73,L,R,Infielder
51230,2002,2,14,Korea,Kim,Dong-Ju,Kim Dong-Ju,203,75,R,R,Pitcher
51234,1994,5,3,USA,Lockett,Walker,Lockett Walker,225,77,R,R,Pitcher
51257,1989,1,10,Cuba,Miranda,Ariel,Miranda Ariel,190,74,L,L,Pitcher
51264,2001,5,11,Korea,Choi,Seung-Yong,Choi Seung-Yong,192,75,L,L,Pitcher
51269,2002,6,16,Korea,Kang,Hyeon-Gu,Kang Hyeon-Gu,216,73,R,R,Outfielder
51294,2002,6,28,Korea,Kim,Do-Yun,Kim Do-Yun,183,71,L,R,Pitcher
51298,2002,11,18,Korea,Park,Seong-Jae,Park Seong-Jae,216,73,R,R,Catcher
51301,1997,11,14,Korea,Kim,Seong-Jin,Kim Seong-Jin,170,72,L,R,Pitcher
51302,2002,7,5,Korea,Lee,Ju-Hyeong,Lee Ju-Hyeong,231,72,L,L,Infielder
51303,2001,10,31,Korea,Kim,Si-Ang,Kim Si-Ang,185,70,R,R,Catcher
51307,1998,12,17,Korea,Lee,Jae-Hong,Lee Jae-Hong,154,67,R,R,Infielder
51309,1994,11,16,USA,Craig,Will,Craig Will,231,75,R,R,Infielder
51324,1989,3,18,USA,Freitas,David,Freitas David,254,74,R,R,Infielder
51334,1987,8,7,USA,Smith,Josh,Smith Josh,209,74,R,R,Pitcher
51344,2002,1,1,Korea,Kim,Hwi-Jip,Kim Hwi-Jip,203,71,R,R,Infielder
51359,2002,5,10,Korea,Jang,Jae-Yeong,Jang Jae-Yeong,183,74,R,R,Outfielder
51393,2002,7,12,Korea,Kim,Jun-Hyeong,Kim Jun-Hyeong,201,72,R,R,Pitcher
51403,1996,12,18,Korea,Kim,Dong-Jin,Kim Dong-Jin,185,72,L,R,Infielder
51407,1999,6,3,Korea,Lee,Chang-Yong,Lee Chang-Yong,196,72,R,R,Infielder
51417,2002,10,11,Korea,Kim,Hyeon-Jun,Kim Hyeon-Jun,172,70,L,L,Outfielder
51439,1989,7,1,USA,Montgomery,Mike,Montgomery Mike,218,77,L,L,Pitcher
51454,2002,5,19,Korea,Lee,Seung-Hyeon,Lee Seung-Hyeon,225,72,L,L,Pitcher
51460,2001,10,11,Korea,Lee,Jae-Hui,Lee Jae-Hui,220,74,L,R,Pitcher
51463,1989,11,21,Venezuela,Pirela,Jose,Pirela Jose,218,72,R,R,Outfielder
51516,2002,7,5,Korea,Kim,Jin-Uk,Kim Jin-Uk,198,73,L,L,Pitcher
51526,2002,10,3,Korea,Woo,Gang-Hun,Woo Gang-Hun,194,72,R,R,Pitcher
51528,2002,1,14,Korea,Son,Seong-Bin,Son Seong-Bin,203,73,R,R,Catcher
51546,2000,3,17,Korea,Jung,U-Jun,Jung U-Jun,181,71,R,R,Pitcher
51551,2002,2,15,Korea,Na,Seung-Yeop,Na Seung-Yeop,181,75,L,R,Infielder
51560,1998,9,21,Korea,Lee,Ju-Chan,Lee Ju-Chan,190,71,R,R,Infielder
51567,1992,12,29,Venezuela,Franco,Enderson,Franco Enderson,238,74,R,R,Pitcher
51574,1998,10,12,Korea,Choi,Jong-Eun,Choi Jong-Eun,181,70,L,R,Infielder
51586,2001,11,9,Korea,Kim,Chang-Hun,Kim Chang-Hun,216,73,R,R,Pitcher
51594,2002,6,20,Korea,Song,Jae-Yeong,Song Jae-Yeong,185,71,L,L,Pitcher
51604,2001,1,18,Korea,Kim,Seon-U,Kim Seon-U,198,69,R,R,Catcher
51619,1993,2,19,USA,Mengden,Daniel,Mengden Daniel,205,73,R,R,Pitcher
51636,1997,1,23,Brazil,Takahashi,Mario,Takahashi Mario,225,72,R,R,Pitcher
51640,2002,1,23,Korea,Kwon,Da-Gyeol,Kwon Da-Gyeol,207,74,R,R,Catcher
51645,1998,6,3,Korea,Park,Geon-U,Park Geon-U,214,76,R,R,Pitcher
51648,2002,6,16,Korea,Lee,Ui-Ri,Lee Ui-Ri,198,73,L,L,Pitcher
51665,2001,12,30,Korea,Jang,Min-Gi,Jang Min-Gi,194,72,L,L,Pitcher
51668,2000,10,4,Korea,Lee,Seung-Jae,Lee Seung-Jae,181,72,R,R,Pitcher
51701,2002,9,10,Korea,Cho,Hyeon-Jin,Cho Hyeon-Jin,152,72,L,R,Infielder
51706,1998,7,4,Korea,Jang,Ji-Seung,Jang Ji-Seung,207,73,R,R,Outfielder
51713,2002,8,23,Korea,Kim,Gyu-Yeon,Kim Gyu-Yeon,201,72,R,R,Pitcher
51714,1991,3,26,Venezuela,Perez,Hernan,Perez Hernan,0,0,R,R,Infielder
51715,2002,11,16,Korea,Kim,Gi-Jung,Kim Gi-Jung,212,73,L,L,Pitcher
51722,1990,8,22,USA,Carpenter,Matt,Carpenter Matt,229,77,L,L,Pitcher
51725,1992,1,10,USA,Healy,Ryon,Healy Ryon,229,77,R,R,Infielder
51761,1998,3,16,Korea,Bae,Dong-Hyeon,Bae Dong-Hyeon,183,72,L,R,Pitcher
