npbpID,playerID,yearID,stint,lgID,teamID,POS,G,W,L,SV,HLD,HP,CG,SHO,WL_pct,BFP,IPouts,H,HR,BB,HBP,SO,WP,BK,R,ER,ERA,GS,K_pct,BB_pct,HR_pct,BABIP,LOB%,IBB,RA-,FIP-,RA9_WAR,WAR
165,100072,1951,1,CL,HIROSHIMA,UC,5,1,4,,,,1,0,0.2,99,60,27,1,11,1,3,1,1,17,14,6.3,5,0.03,0.111,0.01,0.317,0.585,,159,110,-0.4,0.1
166,100074,1936.1S,1,JBL,KYOJIN,UC,1,0,0,,,,0,0,,14,9,3,0,1,0,4,0,0,0,0,0,0,0.286,0.071,0,0.333,1,,0,52,0.2,0.1
167,100074,1936.2F,1,JBL,KYOJIN,UC,3,1,2,,,,2,0,0.333,89,63,17,0,7,0,19,0,0,10,7,3,3,0.213,0.079,0,0.27,0.583,,100,62,0.2,0.8
168,100074,1937.1S,1,JBL,KYOJIN,UC,25,13,4,,,,10,3,0.765,592,442,100,1,58,1,92,2,0,34,25,1.53,16,0.155,0.098,0.002,0.232,0.793,,49,79,5.7,3.2
169,100074,1937.2F,1,JBL,KYOJIN,UC,26,15,7,,,,13,4,0.682,658,494,115,0,51,2,95,2,0,53,34,1.86,18,0.144,0.078,0,0.23,0.685,,64,69,5.1,4.7
170,100074,1938.1S,1,JBL,KYOJIN,UC,24,14,3,,,,13,5,0.824,639,476,106,5,57,2,76,1,0,42,36,2.04,16,0.119,0.089,0.008,0.207,0.778,,56,84,5.6,3.1
171,100074,1938.2F,1,JBL,KYOJIN,UC,24,19,2,,,,17,7,0.905,765,593,111,0,59,1,146,1,1,32,23,1.05,19,0.191,0.077,0,0.202,0.813,,36,56,9.5,7
172,100074,1939,1,JBL,KYOJIN,UC,68,42,15,,,,38,10,0.737,1838,1375,316,4,156,11,282,6,0,114,88,1.73,41,0.153,0.085,0.002,0.23,0.773,,63,73,13.9,11.8
173,100074,1940,1,JBL,KYOJIN,UC,55,38,12,,,,41,16,0.76,1688,1308,241,3,145,4,245,5,0,67,47,0.97,42,0.145,0.086,0.002,0.189,0.837,,45,74,17.3,10.3
174,100074,1941,1,JBL,KYOJIN,UC,20,15,3,,,,13,4,0.833,587,450,93,3,45,1,58,2,0,28,20,1.2,14,0.099,0.077,0.005,0.191,0.823,,66,75,3.9,3.3
175,100074,1942,1,JBL,KYOJIN,UC,40,26,8,,,,27,8,0.765,1196,919,174,3,119,2,110,6,0,50,38,1.12,30,0.092,0.099,0.003,0.181,0.843,,58,92,9.3,4.3
176,100074,1943,1,JBL,KYOJIN,UC,18,10,5,,,,11,3,0.667,537,408,75,2,57,3,71,3,0,22,18,1.19,14,0.132,0.106,0.004,0.186,0.855,,56,85,4.3,2.4
177,100074,1944,1,JBL,KYOJIN,UC,7,6,0,,,,7,2,1,254,198,40,0,23,0,27,2,0,9,5,0.68,7,0.106,0.091,0,0.198,0.857,,36,80,3.1,1.3
178,100074,1946,1,JBL,PACIFIC,UC,5,1,1,,,,2,0,0.5,138,95,35,1,16,0,11,0,0,10,7,1.99,4,0.08,0.116,0.007,0.309,0.827,,65,102,1,0.3
179,100074,1947,1,JBL,TAIYO,UC,20,8,10,,,,16,1,0.444,662,487,142,3,48,2,77,1,0,59,37,2.05,19,0.116,0.073,0.005,0.265,0.708,,101,79,1.7,3.6
180,100074,1948,1,JBL,KINSEI,UC,37,17,13,,,,28,3,0.567,1187,895,240,6,80,3,138,4,1,90,72,2.17,32,0.116,0.067,0.005,0.247,0.741,,77,82,6.8,6.2
181,100074,1949,1,JBL,DAIEI,UC,52,27,17,,,,35,9,0.614,1519,1128,357,24,69,4,163,2,1,130,109,2.61,40,0.107,0.045,0.016,0.267,0.757,,64,81,11.9,8.2
182,100074,1950,1,PL,DAIEI,UC,35,11,15,,,,17,2,0.423,995,703,270,21,48,4,86,1,1,115,103,3.96,28,0.086,0.048,0.021,0.302,0.707,,94,96,3.4,3.2
183,100074,1951,1,PL,DAIEI,UC,14,6,6,,,,8,0,0.5,391,302,79,5,22,2,47,0,5,39,30,2.68,13,0.12,0.056,0.013,0.239,0.667,,88,88,1.7,1.7
184,100074,1952,1,PL,DAIEI,UC,24,8,10,,,,12,1,0.444,618,451,145,9,43,2,44,3,0,63,51,3.05,18,0.071,0.07,0.015,0.27,0.716,,90,102,2.4,1.5
185,100074,1953,1,PL,DAIEI,UC,26,11,9,,,,17,3,0.55,811,605,175,11,42,4,61,3,0,67,60,2.68,23,0.075,0.052,0.014,0.24,0.749,,82,101,4,2.2
