playerID,yearID,stint,lgID,teamID,POS,G,PO,A,E,DP,PB,FP,RF
100010,1943,1,JBL,Yamato,1B,9.0,91.0,3.0,1.0,13.0,,0.989,10.444
100010,1943,1,JBL,Yamato,2B,10.0,34.0,18.0,3.0,7.0,,0.945,5.2
100010,1943,1,JBL,Yamato,3B,15.0,14.0,48.0,9.0,4.0,,0.873,4.133
100010,1943,1,JBL,Yamato,OF,20.0,30.0,0.0,0.0,0.0,,1.0,1.5
100011,1936,1,JBL,Osaka,P,21.0,5.0,25.0,2.0,0.0,,0.938,1.429
100011,1937,1,JBL,Osaka,P,40.0,11.0,65.0,5.0,4.0,,0.938,1.9
100011,1938,1,JBL,Osaka,P,7.0,1.0,18.0,0.0,1.0,,1.0,2.714
100011,1939,1,JBL,Osaka,P,48.0,18.0,89.0,5.0,9.0,,0.955,2.229
100011,1940,1,JBL,Hanshin,P,56.0,17.0,105.0,2.0,11.0,,0.984,2.179
100011,1941,1,JBL,Hanshin,P,42.0,16.0,106.0,3.0,11.0,,0.976,2.905
100011,1942,1,JBL,Hanshin,OF,1.0,0.0,0.0,0.0,0.0,,,0.0
100011,1942,1,JBL,Hanshin,P,58.0,17.0,117.0,2.0,10.0,,0.985,2.31
100011,1943,1,JBL,Hanshin,P,52.0,25.0,123.0,2.0,8.0,,0.987,2.846
100011,1944,1,JBL,Hanshin,3B,1.0,1.0,0.0,0.0,0.0,,1.0,1.0
100011,1944,1,JBL,Hanshin,P,31.0,8.0,68.0,0.0,2.0,,1.0,2.452
100011,1946,1,JBL,Osaka,P,12.0,3.0,19.0,1.0,2.0,,0.957,1.833
100011,1947,1,JBL,Osaka,1B,1.0,3.0,0.0,0.0,0.0,,1.0,3.0
100011,1947,1,JBL,Osaka,P,43.0,9.0,82.0,1.0,7.0,,0.989,2.116
100011,1948,1,JBL,Osaka,OF,2.0,5.0,0.0,0.0,0.0,,1.0,2.5
100011,1948,1,JBL,Osaka,P,48.0,6.0,74.0,8.0,8.0,,0.909,1.667
100011,1949,1,JBL,Osaka,P,43.0,7.0,67.0,2.0,7.0,,0.974,1.721
100011,1950,1,PL,Mainichi,P,14.0,1.0,19.0,0.0,1.0,,1.0,1.429
100011,1951,1,PL,Mainichi,P,11.0,0.0,14.0,1.0,1.0,,0.933,1.273
100011,1953,1,PL,Mainichi,P,2.0,0.0,1.0,0.0,0.0,,1.0,0.5
100012,1936,1,JBL,Nagoya,OF,37.0,41.0,3.0,1.0,0.0,,0.978,1.189
100012,1937,1,JBL,Nagoya,2B,2.0,3.0,3.0,2.0,0.0,,0.75,3.0
