playerID,birthYear,birthMonth,birthDay,birthCountry,nameLast,nameFirst,nameFull,weight,height,bats,throws
52103,2003,7,18,South Korea,Choi,Won-Yeong,Won-Yeong Choi,168,69,R,R
52105,2003,11,15,South Korea,Kim,Seong-U,Seong-U Kim,187,71,R,R
52112,1994,5,22,United States,Ruiz,Rio,Rio Ruiz,209,74,L,R
52119,1999,7,2,South Korea,Heo,Jun-Hyeok,Jun-Hyeok Heo,187,71,R,R
52121,2003,8,15,South Korea,Moon,Jeong-Bin,Jeong-Bin Moon,198,73,R,R
52125,1993,3,28,D.R,Garcia,Robel,Robel Garcia,194,72,R,R
52140,2003,8,27,South Korea,Kim,Ju-Wan,Ju-Wan Kim,212,74,L,L
52145,1991,10,3,United States,Plutko,Adam,Adam Plutko,209,75,R,R
52149,2003,5,10,South Korea,Cho,Won-Tae,Won-Tae Cho,203,73,L,L
52154,2003,3,4,South Korea,Lee,Ju-Heon,Ju-Heon Lee,203,73,R,R
52204,2003,6,4,South Korea,Lee,Byeong-Heon,Byeong-Heon Lee,209,72,L,L
52206,2001,7,23,South Korea,Choi,Ji-Gang,Ji-Gang Choi,194,71,L,R
52234,1989,11,21,United States,Stock,Robert,Robert Stock,214,73,L,R
52257,1994,6,3,United States,Waddell,Brandon,Brandon Waddell,179,75,L,L
52267,2002,9,4,South Korea,Kim,Dong-Jun,Dong-Jun Kim,220,76,L,L
52295,2003,5,7,South Korea,Lee,Won-Jae,Won-Jae Lee,209,74,L,L
52305,1999,2,25,South Korea,Park,Su-Jong,Su-Jong Park,181,70,R,R
52308,1993,1,5,United States,Eppler,Tyler,Tyler Eppler,229,77,R,R
52330,2000,1,30,South Korea,Ju,Seung-U,Seung-U Ju,181,71,R,R
52348,2003,4,25,South Korea,Park,Chan-Hyeok,Chan-Hyeok Park,194,71,R,R
52366,1990,12,7,Cuba,Puig,Yasiel,Yasiel Puig,238,74,R,R
52391,2003,5,5,South Korea,Song,Jeong-In,Jeong-In Song,185,74,R,R
52394,2003,6,22,South Korea,No,Un-Hyeon,Un-Hyeon No,168,72,R,R
52395,2003,7,4,South Korea,Yoon,Seok-Won,Seok-Won Yoon,179,73,L,L
52397,2002,12,5,South Korea,Lee,Myeong-Jong,Myeong-Jong Lee,185,71,R,R
52402,2003,12,6,South Korea,Kim,Sang-Min,Sang-Min Kim,183,72,L,R
52405,2003,10,22,South Korea,Cho,Min-Seong,Min-Seong Cho,198,71,R,R
52415,2003,2,4,South Korea,Lee,Jae-Hyeon,Jae-Hyeon Lee,181,71,R,R
52424,1999,12,26,South Korea,Kim,Jae-Hyeok,Jae-Hyeok Kim,187,72,R,R
52430,2003,8,24,South Korea,Kim,Yeong-Ung,Yeong-Ung Kim,179,72,L,R
52457,1989,10,8,Venezuela,Suarez,Albert,Albert Suarez,265,75,R,R
52460,2003,9,1,South Korea,Kim,Seo-Jun,Seo-Jun Kim,172,72,R,R
