playerID,birthYear,birthMonth,birthDay,birthCountry,nameLast,nameFirst,nameFull,height,weight,bats,throws,Position
102717,1947,4,25,Japan,Yasuda,Takeshi,Takeshi Yasuda,68,159,L,L,Pitcher
102718,1947,8,1,Japan,Toyota,Kenji,Kenji Toyota,69,165,R,R,Pitcher
102719,1947,8,12,Japan,Kamano,Hiroshi,Hiroshi Kamano,68,150,R,R,Pitcher
102720,1947,9,28,Japan,Sendo,Mikio,Mikio Sendo,71,192,L,L,Right fielder
102721,1947,10,12,Japan,Ozaki,Kameshige,Kameshige Ozaki,70,165,R,R,Pinch Hitter
102722,1947,10,26,Japan,Watanabe,Hiroki,Hiroki Watanabe,69,172,L,L,Pitcher
102723,1947,12,21,Japan,Kuroda,Masahiro,Masahiro Kuroda,69,172,R,R,Catcher
102724,1948,2,26,Japan,Kawamura,Kenichiro,Kenichiro Kawamura,70,185,R,R,Catcher
102725,1948,4,20,Japan,Narishige,Haruo,Haruo Narishige,70,183,R,R,Pitcher
102726,1948,4,25,Japan,Chiba,Tsuyoshi,Tsuyoshi Chiba,73,172,R,R,Pitcher
102727,1948,7,10,Japan,Enomoto,Naoki,Naoki Enomoto,70,172,L,L,Pitcher
102728,1948,7,15,Japan,Uetsuji,Osamu,Osamu Uetsuji,72,161,R,R,Pitcher
102729,1948,8,5,Japan,Ogata,Toshifumi,Toshifumi Ogata,70,165,R,R,Pinch Hitter
102730,1948,8,23,Japan,Dong-Sik,Joo,Joo Dong-Sik,70,157,R,R,Pitcher
102731,1948,10,6,Japan,Mochizuki,Mitsuru,Mitsuru Mochizuki,71,181,R,R,Left fielder
102732,1949,1,11,Japan,Shirataki,Masataka,Masataka Shirataki,69,161,R,R,Left fielder
102733,1949,3,13,Japan,Takagi,Yoshikazu,Yoshikazu Takagi,70,181,L,L,Right fielder
102734,1949,4,23,Japan,Hirano,Mitsuyasu,Mitsuyasu Hirano,71,181,R,R,Center fielder
102735,1949,5,13,Japan,Hirota,Sumio,Sumio Hirota,64,141,R,R,Center fielder
102736,1949,5,17,Japan,Kano,Shigenori,Shigenori Kano,68,161,R,R,Pinch Hitter
102737,1949,5,30,Japan,Michihara,Hiroyuki,Hiroyuki Michihara,70,165,R,R,Catcher
102738,1949,5,31,Japan,Kaneko,Katsumi,Katsumi Kaneko,69,165,R,R,Pinch Hitter
102739,1949,6,6,Japan,Nakamura,Katsuhiro,Katsuhiro Nakamura,70,143,R,R,Second baseman
102740,1949,6,30,Japan,Yamamoto,Kazuyuki,Kazuyuki Yamamoto,68,176,L,L,Pitcher
102741,1949,7,9,Japan,Sugiyama,Shigeo,Shigeo Sugiyama,70,154,L,L,Pitcher
102742,1949,8,5,Japan,Katahira,Shinsaku,Shinsaku Katahira,72,172,L,L,First baseman
102743,1949,8,15,United States,Hankins,Terry,Terry Hankins,72,181,R,R,Third baseman
102744,1949,9,23,Japan,Hatano,Minoru,Minoru Hatano,70,168,R,R,Pinch Hitter
102745,1949,10,24,Japan,Yokoyama,Haruhisa,Haruhisa Yokoyama,72,194,R,R,Pitcher
102746,1949,12,20,Japan,Kato,Hajime,Hajime Kato,69,159,R,R,Pitcher
102747,1949,12,28,Japan,Sasaki,Kyosuke,Kyosuke Sasaki,69,172,R,R,Right fielder
102748,1950,1,4,Japan,Yokoyama,Tadao,Tadao Yokoyama,71,179,R,R,Pitcher
102749,1950,4,19,Japan,Ishikawa,Masao,Masao Ishikawa,70,165,L,R,Catcher
102750,1950,6,14,Japan,Ueda,Yozo,Yozo Ueda,70,161,L,L,Pitcher
102751,1950,6,15,Japan,Murakami,Yoshinori,Yoshinori Murakami,70,165,R,L,Pitcher
102752,1950,6,27,Japan,Kubo,Toshimi,Toshimi Kubo,70,172,R,R,Third baseman
102753,1950,7,4,Japan,Takeda,Masafumi,Masafumi Takeda,71,168,L,L,Pitcher
102754,1950,7,9,Japan,Sakata,Takashi,Takashi Sakata,70,165,B,R,Center fielder
