playerID,yearID,stint,lgID,teamID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GIDP,PA,TB,AVG,SLG,OBP,OPS,BB_pct,K_pct
100078,1955,1,CL,OSAKA,112,349,41,94,12,0,21,63,1,2,35,51,11,398,169,0.269,0.484,0.345,0.829,0.088,0.128
100078,1956,1,CL,OSAKA,51,105,10,23,4,0,4,19,0,2,9,9,4,118,39,0.219,0.371,0.293,0.665,0.076,0.076
100078,1958,1,CL,OSAKA,24,26,0,3,0,0,0,1,0,0,4,6,1,31,3,0.115,0.115,0.233,0.349,0.129,0.194
100079,1936,1,JBL,HANKYU,8,15,0,0,0,0,0,0,0,,1,3,,,0,0,0,,,,
100079,1940,1,JBL,HANKYU,1,1,0,0,0,0,0,0,0,,0,1,,1,0,0,0,0,0,0,1
100080,1936,1,JBL,DAI TOKYO,40,125,16,22,1,0,0,5,1,,14,17,,,23,0.176,0.184,,,,
100080,1937,1,JBL,DAI TOKYO,23,57,4,12,1,0,0,4,3,,6,6,,,13,0.211,0.228,,,,
100080,1937,2,JBL,KORAKUEN,49,146,15,30,3,1,0,8,2,,22,35,,,35,0.205,0.24,,,,
100080,1938,1,JBL,EAGLES,74,216,25,39,4,0,2,15,10,,32,25,,,49,0.181,0.227,,,,
100080,1939,1,JBL,EAGLES,61,200,18,34,6,2,2,12,5,,20,20,,222,50,0.17,0.25,0.244,0.494,0.09,0.09
100080,1940,1,JBL,KINKO,56,178,14,33,5,0,0,11,4,,17,23,,200,38,0.185,0.213,0.256,0.47,0.085,0.115
100081,1936,1,JBL,DAI TOKYO,39,134,16,17,6,0,0,13,4,,27,28,,,23,0.127,0.172,,,,
100081,1937,1,JBL,DAI TOKYO,47,114,19,21,4,2,0,9,7,,30,30,,,29,0.184,0.254,,,,
100081,1937,2,JBL,LION,46,148,33,30,6,3,1,15,6,,36,27,,,45,0.203,0.304,,,,
100081,1938,1,JBL,LION,58,175,17,37,6,4,1,20,3,,33,39,,,54,0.211,0.309,,,,
100081,1942,1,JBL,ASAHI,3,5,1,1,0,0,0,0,0,0,2,0,,,1,0.2,0.2,,,,
100081,1943,1,JBL,ASAHI,48,140,8,28,4,1,0,9,0,2,22,10,,,34,0.2,0.243,,,,
100081,1946,1,JBL,GOLD STAR,102,356,39,78,9,3,1,19,6,5,48,33,,,96,0.219,0.27,,,,
100081,1947,1,JBL,KINSEI,115,406,39,84,14,3,4,23,7,3,46,39,,,116,0.207,0.286,,,,
100081,1948,1,JBL,KINSEI,60,94,7,23,2,1,0,6,1,2,12,13,,,27,0.245,0.287,,,,
100082,1936,1,JBL,SENATORS,27,93,10,17,0,2,0,11,2,,12,16,,,21,0.183,0.226,,,,
100082,1940,1,JBL,TSUBASA,68,233,13,50,4,2,1,27,3,,20,33,,256,61,0.215,0.262,0.275,0.536,0.078,0.129
100083,1936,1,JBL,OSAKA,45,188,41,63,8,3,1,19,9,,27,17,,,80,0.335,0.426,,,,
