playerID,yearID,stint,lgID,teamID,G,W,L,CG,SHO,SV,IPouts,H,HR,BB,HBP,SO,R,ER,ERA,BFP,WPCT
101002,1953,1,PL,KINTETSU,4,0,0,0,0,,23,7,2,6,0,1,7,6,7.043478261,37,
101002,1956,1,PL,KINTETSU,18,1,1,0,0,,88,42,4,9,2,17,27,22,6.75,137,0.5
101003,1952,1,CL,SHOCHIKU,17,0,2,0,0,,156,56,2,34,1,18,32,28,4.846153846,234,0
101003,1954,1,CL,YOSHO,1,0,0,0,0,,12,4,0,5,0,2,1,1,2.25,20,
101005,1952,1,CL,HIROSHIMA,19,1,5,2,0,,164,69,3,17,1,20,39,32,5.268292683,251,0.167
101005,1953,1,CL,HIROSHIMA,5,0,0,0,0,,44,20,1,5,1,3,9,9,5.522727273,66,
101005,1954,1,CL,HIROSHIMA,39,18,13,18,3,,717,242,7,44,2,58,97,80,3.012552301,976,0.581
101005,1955,1,CL,HIROSHIMA,31,10,13,9,3,,422,158,11,51,2,33,71,62,3.966824645,617,0.435
101005,1956,1,CL,HIROSHIMA,23,2,7,0,0,,215,86,9,25,1,16,46,33,4.144186047,324,0.222
101005,1957,1,CL,HIROSHIMA,18,0,5,0,0,,116,48,3,11,3,6,18,18,4.189655172,162,0
101005,1958,1,CL,HIROSHIMA,9,0,1,0,0,,61,26,4,5,2,8,13,11,4.868852459,91,0
101008,1952,1,CL,TAIYO,9,0,0,0,0,,58,19,0,13,0,5,11,10,4.655172414,88,
101009,1952,1,PL,NANKAI,32,8,5,3,1,,411,123,9,48,5,70,61,48,3.153284672,578,0.615
101009,1953,1,PL,NANKAI,43,19,8,16,4,,784,216,7,101,7,109,77,65,2.238520408,1068,0.704
101009,1954,1,PL,NANKAI,34,14,7,8,3,,556,139,10,68,8,67,53,47,2.282374101,734,0.667
101009,1955,1,PL,NANKAI,20,3,1,0,0,,163,63,5,23,1,22,30,24,3.975460123,240,0.75
101009,1956,1,PL,NANKAI,1,0,0,0,0,,3,1,0,0,0,0,0,0,0,5,
101010,1952,1,CL,OSAKA,6,1,1,0,0,,42,18,2,3,0,2,9,8,5.142857143,58,0.5
101010,1953,1,CL,OSAKA,25,1,2,0,0,,107,47,3,19,1,19,25,25,6.308411215,166,0.333
101011,1952,1,PL,MAINICHI,25,5,2,1,1,,281,80,4,22,2,28,32,24,2.306049822,372,0.714
101011,1953,1,PL,MAINICHI,32,7,4,0,0,,319,90,6,29,3,45,37,33,2.793103448,426,0.636
101011,1954,1,PL,MAINICHI,24,5,4,1,0,,261,82,4,36,1,47,36,32,3.310344828,370,0.556
101011,1955,1,PL,MAINICHI,30,4,1,0,0,,232,78,4,17,0,46,28,19,2.211206897,318,0.8
101011,1956,1,PL,TAKAHASHI,33,2,4,0,0,,270,101,4,33,0,39,47,40,4,395,0.333
101012,1952,1,PL,TOKYU,15,0,1,0,0,,85,31,6,11,0,10,23,21,6.670588235,128,0
101014,1952,1,PL,NANKAI,1,0,0,0,0,,3,0,0,4,0,0,0,0,0,6,
101016,1952,1,PL,NISHITETSU,1,0,0,0,0,,0,0,0,2,0,0,0,0,,2,
101017,1952,1,CL,NAGOYA,1,0,0,0,0,,4,2,0,4,0,1,4,4,27,10,
101020,1952,1,PL,MAINICHI,1,1,0,0,0,,12,3,1,1,1,1,1,1,2.25,16,1
101020,1953,1,PL,MAINICHI,23,1,2,1,1,,195,61,2,29,1,25,28,24,3.323076923,279,0.333
101020,1954,1,PL,MAINICHI,28,7,3,2,1,,354,116,8,49,1,44,54,43,3.279661017,509,0.7
101020,1955,1,PL,MAINICHI,20,1,2,0,0,,128,44,3,19,0,13,28,19,4.0078125,188,0.333
101020,1956,1,PL,MAINICHI,5,0,0,0,0,,24,11,1,2,0,3,7,4,4.5,37,
101020,1957,1,PL,MAINICHI,8,0,0,0,0,,43,19,4,5,0,4,9,8,5.023255814,65,
101021,1952,1,PL,HANKYU,1,0,0,0,0,,5,2,0,1,0,1,0,0,0,8,
101021,1955,1,PL,TOMBO,29,3,4,1,0,,263,91,8,24,1,25,46,35,3.593155894,372,0.429
101021,1956,1,PL,TAKAHASHI,41,7,9,4,2,,495,148,13,39,1,57,69,59,3.218181818,675,0.438
101021,1957,1,PL,DAIEI,58,3,13,2,1,,493,157,9,49,4,39,73,60,3.286004057,696,0.188
101021,1958,1,PL,KINTETSU,23,0,0,0,0,,142,57,7,11,0,13,28,24,4.563380282,205,
101023,1952,1,PL,NISHITETSU,15,0,0,0,0,,83,31,3,17,1,7,23,18,5.855421687,132,
101023,1953,1,PL,NISHITETSU,27,4,6,1,0,,243,56,4,38,2,38,32,29,3.222222222,329,0.4
101023,1954,1,PL,NISHITETSU,23,3,1,1,0,,189,43,3,26,0,28,24,16,2.285714286,248,0.75
101023,1955,1,PL,NISHITETSU,21,2,2,2,1,,180,54,4,22,2,34,26,21,3.15,248,0.5
101023,1956,1,PL,NISHITETSU,74,25,11,15,3,,1121,225,7,114,7,253,76,56,1.348795718,1443,0.694
101023,1957,1,PL,NISHITETSU,31,13,5,6,3,,420,110,5,37,3,81,41,25,1.607142857,561,0.722
101023,1958,1,PL,NISHITETSU,43,11,7,1,1,,438,124,6,32,4,100,53,43,2.650684932,590,0.611
101023,1959,1,PL,NISHITETSU,49,12,11,4,0,,733,213,16,55,5,139,75,65,2.394270123,984,0.522
101023,1960,1,PL,NISHITETSU,39,8,8,2,0,,391,116,8,36,0,79,58,50,3.452685422,531,0.5
101023,1961,1,PL,NISHITETSU,35,6,3,1,0,,280,91,5,37,3,47,35,32,3.085714286,404,0.667
101023,1962,1,PL,NISHITETSU,19,1,2,0,0,,93,40,4,5,1,21,14,12,3.483870968,137,0.333
101025,1952,1,CL,HIROSHIMA,15,1,0,0,0,,80,24,2,23,0,9,21,18,6.075,122,1
101025,1953,1,CL,HIROSHIMA,25,1,6,2,0,,277,99,10,36,0,25,59,47,4.581227437,418,0.143
101025,1954,1,CL,HIROSHIMA,4,0,1,0,0,,37,25,6,11,0,3,22,22,16.05405405,69,0
