kbopID,playerID,yearID,stint,lgID,teamID,G,W,L,CG,SHO,SV,IPouts,H,HR,BB,HBP,SO,R,ER,ERA,BFP,WPCT
533,60146,2017,1,KBO,Samsung,30,2,0,0,0,0,100,36,9,22,1,25,21,18,5.12,156,1
534,60146,2018,1,KBO,Samsung,19,1,1,0,0,0,51,23,4,7,2,14,15,15,7.94,82,0.5
535,60146,2019,1,KBO,Samsung,34,2,1,0,0,0,111,28,2,11,1,31,11,8,1.95,147,0.667
536,60146,2020,1,KBO,Samsung,65,1,2,0,0,0,165,45,11,25,0,52,22,21,3.48,226,0.333
537,60146,2021,1,KBO,Samsung,21,1,1,0,0,0,51,30,6,8,0,7,18,18,9.53,86,0.5
538,60146,2022,1,KBO,Samsung,54,0,2,0,0,0,150,48,5,22,3,39,26,26,4.68,217,0
539,60146,2023,1,KBO,Samsung,60,4,4,0,0,0,180,68,5,15,0,42,29,24,3.6,264,0.5
540,60146,2024,1,KBO,Samsung,60,6,2,0,0,1,183,68,6,23,3,51,31,30,4.48,265,0.75
541,60146,2025,1,KBO,Samsung,9,0,0,0,0,0,30,16,3,4,0,7,11,10,9.64,46,-
542,60154,2010,1,KBO,LG,9,0,6,0,0,0,132,49,4,21,5,23,40,37,7.68,206,0
543,60156,2010,1,KBO,LG,46,5,3,0,0,16,144,36,6,29,4,40,17,16,3,205,0.625
544,60164,2010,1,KBO,LG,1,0,0,0,0,0,3,3,0,1,0,1,2,2,18,7,-
545,60164,2016,1,KBO,LG,2,0,0,0,0,0,18,7,1,4,0,0,4,4,6.75,25,-
546,60181,2010,1,KBO,LG,5,0,0,0,0,0,24,10,2,3,0,5,7,7,7.88,34,-
547,60181,2015,1,KBO,LG,24,1,1,0,0,0,103,30,4,12,1,28,15,15,4.13,137,0.5
548,60181,2016,1,KBO,LG,51,3,4,0,0,0,189,52,9,18,5,56,25,25,3.57,258,0.429
549,60181,2017,1,KBO,LG,53,4,3,0,0,3,159,59,13,14,2,39,33,30,5.09,235,0.571
550,60181,2018,1,KBO,LG,48,5,6,0,0,1,141,52,10,9,2,42,30,28,5.36,198,0.455
551,60181,2020,1,KBO,LG,4,0,0,0,0,0,16,5,1,2,0,4,6,6,14.73,18,-
552,60181,2021,1,KBO,LG,3,0,0,0,0,0,12,2,0,1,1,5,0,0,0,16,-
553,60181,2022,1,KBO,Doosan,18,1,0,0,0,0,60,19,5,5,1,13,14,13,6.05,82,1
554,60198,2012,1,KBO,LG,2,0,0,0,0,0,9,3,2,3,1,1,5,5,19.29,13,-
555,60240,2010,1,KBO,Doosan,27,14,5,1,0,0,456,139,7,62,9,87,65,56,3.32,654,0.737
556,60255,2010,1,KBO,Doosan,9,0,0,0,0,0,46,25,2,15,0,6,16,16,10.54,79,-
557,60255,2011,1,KBO,Doosan,4,0,0,0,0,0,31,11,1,3,0,6,3,3,3.12,38,-
558,60255,2014,1,KBO,Doosan,8,0,0,0,0,0,18,7,0,2,0,1,2,2,3.38,22,-
559,60255,2015,1,KBO,Doosan,4,0,0,0,0,0,12,11,4,8,0,4,14,13,29.25,31,-
560,60255,2017,1,KBO,Doosan,3,0,0,0,0,0,6,0,0,2,0,2,0,0,0,8,-
561,60255,2018,1,KBO,Doosan,3,0,0,0,0,0,6,5,3,2,1,2,6,6,27,14,-
562,60263,2010,1,KBO,Doosan,16,1,1,0,0,0,72,21,3,13,6,18,14,13,5.01,107,0.5
563,60263,2013,1,KBO,NC,27,10,5,2,1,1,468,123,12,59,14,144,53,50,2.88,646,0.667
564,60263,2014,1,KBO,NC,29,10,9,1,0,0,468,152,16,68,8,131,77,73,4.21,668,0.526
565,60263,2015,1,KBO,NC,29,10,8,0,0,0,375,115,17,58,9,116,58,57,4.1,545,0.556
566,60263,2016,1,KBO,NC,26,12,4,0,0,0,388,140,19,54,6,134,72,65,4.58,569,0.75
567,60263,2017,1,KBO,NC,28,5,7,0,0,0,357,142,22,41,13,117,88,75,5.67,546,0.417
568,60263,2018,1,KBO,NC,29,5,13,1,0,0,459,157,13,49,10,116,87,81,4.79,658,0.278
569,60263,2019,1,KBO,NC,24,10,4,0,0,0,394,133,6,43,9,91,62,54,3.75,560,0.714
570,60263,2020,1,KBO,NC,19,5,6,0,0,0,277,105,14,43,5,61,66,66,6.55,410,0.455
571,60263,2021,1,KBO,NC,17,6,6,2,1,0,249,74,14,52,6,65,50,48,5.2,370,0.5
572,60263,2022,1,KBO,NC,26,3,8,0,0,0,273,75,5,54,8,72,56,48,4.75,406,0.273
573,60263,2023,1,KBO,NC,15,5,5,0,0,0,204,55,6,33,5,43,36,34,4.54,293,0.5
574,60263,2024,1,KBO,NC,21,3,12,0,0,0,315,108,17,42,4,97,68,64,5.52,462,0.2
575,60264,2010,1,KBO,Doosan,14,0,0,0,0,0,45,16,1,11,1,6,13,11,6.91,70,-
576,60264,2011,1,KBO,Doosan,5,0,0,0,0,0,13,4,0,2,1,2,3,3,10.13,15,-
577,60264,2012,1,KBO,Doosan,23,1,2,0,0,0,111,38,4,23,3,23,23,21,5.2,164,0.333
578,60264,2013,1,KBO,Doosan,5,0,0,0,0,0,24,21,1,6,0,2,15,15,18.41,48,-
579,60264,2014,1,KBO,Doosan,12,1,1,0,0,0,84,29,2,25,1,21,27,24,7.9,136,0.5
580,60264,2015,1,KBO,KT,30,5,11,0,0,0,354,138,19,62,4,82,80,68,5.19,542,0.313
581,60264,2016,1,KBO,KT,22,4,10,0,0,0,276,115,13,44,5,57,82,74,7.29,428,0.286
582,60264,2017,1,KBO,Nexen,17,3,8,0,0,0,201,91,13,23,3,27,55,52,7.06,306,0.273
583,60264,2020,1,KBO,Kiwoom,1,0,0,0,0,0,13,5,1,0,0,3,3,3,10.13,13,-
584,60329,2010,1,KBO,Nexen,29,10,10,0,0,0,420,150,16,82,18,98,91,83,5.34,655,0.5
585,60336,2010,1,KBO,Nexen,32,1,5,0,0,0,210,63,9,46,1,57,43,38,4.93,299,0.167
586,60336,2011,1,KBO,Nexen,30,5,12,0,0,0,397,129,13,78,4,108,63,63,4.34,581,0.294
587,60336,2012,1,KBO,Nexen,13,1,1,0,0,0,117,38,0,11,0,31,21,18,4.23,162,0.5
588,60336,2013,1,KBO,Nexen,17,5,4,0,0,0,192,73,8,22,3,55,35,32,4.5,280,0.556
589,60336,2014,1,KBO,Nexen,20,9,4,0,0,0,258,96,12,48,5,51,59,56,5.91,402,0.692
590,60336,2015,1,KBO,Nexen,34,0,5,0,0,0,280,114,10,39,5,58,75,64,6.28,425,0
591,60336,2018,1,KBO,Nexen,1,0,0,0,0,0,3,1,0,1,0,1,0,0,0,5,-
592,60336,2020,1,KBO,Kiwoom,10,1,1,0,0,0,45,13,1,11,0,13,7,7,4.2,63,0.5
593,60336,2021,1,KBO,Kiwoom,4,0,0,0,0,0,12,3,0,6,0,3,2,2,5.4,18,-
594,60336,2022,1,KBO,Kiwoom,45,0,1,0,0,13,126,34,3,14,1,32,16,15,3.27,168,0
595,60336,2023,1,KBO,Kiwoom,32,2,2,0,0,0,87,26,2,20,2,21,16,14,4.45,134,0.5
596,60336,2024,1,KBO,Kiwoom,42,1,2,0,0,3,117,54,3,25,2,31,28,28,6.57,189,0.333
597,60337,2014,1,KBO,SK,9,0,1,0,0,0,40,12,1,19,1,14,13,13,10.03,65,0
598,60337,2017,1,KBO,SK,6,0,0,0,0,0,19,8,1,2,0,3,5,5,9.64,24,-
599,60337,2019,1,KBO,KT,21,0,0,0,0,0,81,21,1,12,4,23,7,7,2.33,111,-
600,60337,2020,1,KBO,LG,3,0,0,0,0,0,9,5,0,1,1,1,6,6,23.14,14,-
601,60337,2021,1,KBO,LG,64,4,1,0,0,0,157,32,2,15,9,56,13,12,2.13,209,0.8
602,60337,2022,1,KBO,LG,59,2,1,0,0,0,124,35,2,15,8,36,11,9,2.04,172,0.667
