mnkpID,playerID,mlb_playerID,npb_playerID,kbo_playerID,yearID,stint,lgID,teamID,transition_indicator,G,W,L,CG,SHO,SV,IPouts,H,HR,BB,HBP,SO,R,ER,ERA,BFP,WPCT,AL_indicator,NL_indicator,CL_indicator,PL_indicator,KBO_indicator
2370,MLB_barneto01_NPB_105768_KBO_,,105768.0,,2013,1,CL,YAKULT,1,47,1,8,0.0,0,7.0,121,36,4,19,2.0,62,29.0,27.0,6.024793388,176.0,0.111,0,0,1,0,0
2371,MLB_barneto01_NPB_105768_KBO_,,105768.0,,2014,1,CL,YAKULT,1,33,1,2,0.0,0,14.0,97,27,4,11,0.0,42,12.0,12.0,3.340206186,132.0,0.333,0,0,1,0,0
2372,MLB_barneto01_NPB_105768_KBO_,,105768.0,,2015,1,CL,YAKULT,1,59,3,1,0.0,0,41.0,188,37,1,19,3.0,56,10.0,9.0,1.292553191,246.0,0.75,0,0,1,0,0
2468,MLB_barrija01_NPB__KBO_54720,,,54720.0,2024,1,KBO,Hanwha,2,20,6,7,0.0,0,0.0,283,114,10,18,0.0,83,58.0,53.0,5.15,405.0,0.462,0,0,0,0,1
2522,MLB_bassan01_NPB_106392_KBO_,,106392.0,,2016,1,PL,NIPPON-HAM,3,37,8,8,0.0,0,0.0,311,102,7,47,4.0,71,48.0,42.0,3.646302251,452.0,0.5,0,0,0,1,0
2535,MLB_bassbr01_NPB__KBO_62730,,,62730.0,2012,1,KBO,Hanwha,3,2,0,1,0.0,0,0.0,10,9,1,1,1.0,1,9.0,9.0,48.6,15.0,0,0,0,0,0,1
2569,MLB_batchri01_NPB_104675_KBO_,,104675.0,,1999,1,CL,YAKULT,2,7,0,0,0.0,0,0.0,17,7,0,1,1.0,2,5.0,5.0,7.941176471,25.0,,0,0,1,0,0
2612,MLB_bauerri01_NPB__KBO_79199,,,79199.0,2009,1,KBO,LG,2,7,2,2,0.0,0,0.0,84,31,5,18,2.0,15,24.0,24.0,7.9,129.0,0.5,0,0,0,0,1
2632,MLB_bauertr01_NPB_33235157_KBO_,,33235157.0,,2023,1,CL,DENA,4,19,10,4,2.0,0,0.0,391,119,14,31,4.0,130,44.0,40.0,2.762148338,534.0,0.714,0,0,1,0,0
2633,MLB_bauertr01_NPB_33235157_KBO_,,33235157.0,,2025,1,CL,DENA,4,10,3,3,1.0,1,0.0,213,62,8,18,1.0,66,26.0,26.0,3.295774648,285.0,0.5,0,0,1,0,0
2657,MLB_baumami01_NPB_93795150_KBO_,,93795150.0,,2025,1,CL,YAKULT,5,10,0,1,0.0,0,0.0,27,11,3,10,0.0,11,6.0,5.0,5.0,49.0,0,0,0,1,0,0
2694,MLB_bautide01_NPB__KBO_61727,,,61727.0,2011,1,KBO,Hanwha,5,27,3,0,0.0,0,10.0,112,19,1,22,1.0,61,8.0,8.0,2.02,148.0,1,0,0,0,0,1
2695,MLB_bautide01_NPB__KBO_61727,,,61727.0,2012,1,KBO,Hanwha,5,44,4,6,0.0,0,8.0,258,70,7,52,12.0,110,35.0,34.0,3.56,375.0,0.4,0,0,0,0,1
2696,MLB_bautide01_NPB__KBO_61727,,,61727.0,2013,1,KBO,Hanwha,5,29,7,7,0.0,0,0.0,436,141,9,70,13.0,150,77.0,67.0,4.2,640.0,0.5,0,0,0,0,1
2714,MLB_baylijo01_NPB_105665_KBO_,,105665.0,,2009,1,PL,SEIBU,3,19,0,0,0.0,0,1.0,42,18,1,8,0.0,6,5.0,5.0,3.214285714,67.0,,0,0,0,1,0
2795,MLB_beaslje01_NPB_3905157_KBO_,,3905157.0,,2023,1,CL,HANSHIN,3,18,1,2,0.0,0,0.0,123,35,1,13,1.0,43,12.0,10.0,2.195121951,170.0,0.333,0,0,1,0,0
2796,MLB_beaslje01_NPB_3905157_KBO_,,3905157.0,,2024,1,CL,HANSHIN,3,14,8,3,1.0,0,0.0,229,53,6,24,5.0,75,23.0,21.0,2.475982533,305.0,0.727,0,0,1,0,0
2797,MLB_beaslje01_NPB_3905157_KBO_,,3905157.0,,2025,1,CL,HANSHIN,3,6,1,2,0.0,0,0.0,63,24,0,8,0.0,19,11.0,10.0,4.285714286,92.0,0.333,0,0,1,0,0
3000,MLB_beenean01_NPB_103528_KBO_,,103528.0,,1985,1,CL,YAKULT,2,8,2,2,0.0,0,0.0,67,26,2,17,0.0,15,19.0,18.0,7.253731343,109.0,0.5,0,0,1,0,0
3054,MLB_beirnke01_NPB_105098_KBO_,,105098.0,,2003,1,PL,KINTETSU,3,30,8,7,2.0,1,0.0,389,109,16,48,9.0,107,63.0,63.0,4.372750643,534.0,0.533,0,0,0,1,0
3055,MLB_beirnke01_NPB_105098_KBO_,,105098.0,,2004,1,PL,KINTETSU,3,27,6,8,0.0,0,0.0,521,190,10,48,12.0,154,83.0,75.0,3.886756238,743.0,0.429,0,0,0,1,0
3056,MLB_beirnke01_NPB_105098_KBO_,,105098.0,,2005,1,PL,ORIX,3,22,4,13,0.0,0,0.0,328,117,10,47,5.0,70,63.0,57.0,4.692073171,485.0,0.235,0,0,0,1,0
3057,MLB_beirnke01_NPB_105098_KBO_,,105098.0,,2006,1,PL,LOTTE,3,28,3,5,0.0,0,0.0,196,60,9,27,2.0,48,34.0,32.0,4.408163265,282.0,0.375,0,0,0,1,0
3137,MLB_bellch02_NPB__KBO_69748,,,69748.0,2019,1,KBO,Hanwha,2,29,11,10,0.0,0,0.0,534,169,14,63,10.0,134,73.0,69.0,3.5,749.0,0.524,0,0,0,0,1
3138,MLB_bellch02_NPB__KBO_69748,,,69748.0,2020,1,KBO,Hanwha,2,16,2,8,0.0,0,0.0,231,85,10,35,5.0,61,54.0,51.0,5.96,346.0,0.2,0,0,0,0,1
3208,MLB_belowdu01_NPB_106348_KBO_62688,,,62688.0,2013,1,KBO,KIA,3,11,3,2,0.0,0,1.0,141,45,1,26,1.0,38,26.0,21.0,4.02,208.0,0.6,0,0,0,0,1
3209,MLB_belowdu01_NPB_106348_KBO_62688,,106348.0,,2015,1,CL,DENA,4,1,0,1,0.0,0,0.0,4,2,0,5,0.0,0,5.0,5.0,33.75,11.0,0,0,0,1,0,0
3220,MLB_beltrri01_NPB_104985_KBO_,,104985.0,,2002,1,CL,HIROSHIMA,2,25,0,1,0.0,0,0.0,59,33,5,4,3.0,20,20.0,20.0,9.152542373,97.0,0,0,0,1,0,0
3301,MLB_benjawe01_NPB__KBO_52043,,,52043.0,2022,1,KBO,KT,2,17,5,4,0.0,0,0.0,295,75,11,24,4.0,77,34.0,29.0,2.7,385.0,0.556,0,0,0,0,1
3302,MLB_benjawe01_NPB__KBO_52043,,,52043.0,2023,1,KBO,KT,2,29,15,6,0.0,0,0.0,480,149,12,45,3.0,157,79.0,63.0,3.54,684.0,0.714,0,0,0,0,1
3303,MLB_benjawe01_NPB__KBO_52043,,,52043.0,2024,1,KBO,KT,2,28,11,8,0.0,0,0.0,454,141,28,48,4.0,156,90.0,77.0,4.63,639.0,0.579,0,0,0,0,1
3327,MLB_bennesh01_NPB__KBO_71220,,,71220.0,2001,1,KBO,Doosan,2,5,0,2,0.0,0,0.0,64,32,4,9,0.0,16,16.0,16.0,7.32,97.0,0,0,0,0,0,1
3469,MLB_bergebr02_NPB_106065_KBO_,,106065.0,,2013,1,CL,CHUNICHI,3,14,2,2,0.0,0,0.0,160,61,4,16,2.0,22,24.0,22.0,3.7125,233.0,0.5,0,0,1,0,0
